student_id,Gender,english,maths,science,history,Geography,average
Stud292,F,76,60,72,67,41,63.2
Stud293,F,54,99,66,76,91,77.2
Stud294,F,52,60,92,44,62,62.0
Stud295,M,88,71,39,66,78,68.4
Stud296,F,66,36,99,49,50,60.0
Stud297,F,82,61,45,81,73,68.4
Stud298,F,40,48,45,76,62,54.2
Stud299,M,90,69,70,35,93,71.4
Stud300,M,72,48,50,94,82,69.2
Stud301,F,76,88,99,91,43,79.4
Stud302,F,44,99,74,98,62,75.4
Stud303,F,52,91,70,79,60,70.4
Stud304,M,63,69,71,49,41,58.6
Stud305,M,49,83,59,81,72,68.8
Stud306,F,85,39,86,88,35,66.6
Stud307,M,46,75,66,51,49,57.4
Stud308,M,72,99,35,62,91,71.8
Stud309,M,61,54,43,63,35,51.2
Stud310,M,82,95,40,44,90,70.2
Stud311,M,57,46,76,36,95,62.0
Stud312,M,43,41,36,72,39,46.2
Stud313,M,79,45,69,82,37,62.4
Stud314,M,49,70,62,86,76,68.6
Stud315,M,48,62,52,63,56,56.2
Stud316,M,66,82,73,54,87,72.4
Stud317,F,78,89,85,54,86,78.4
Stud318,F,63,99,42,81,96,76.2
Stud319,M,90,54,75,84,88,78.2
Stud320,M,99,78,80,56,61,74.8
Stud321,F,86,38,85,99,64,74.4
Stud322,F,42,91,95,97,68,78.6
Stud323,M,89,61,71,44,85,70.0
Stud324,F,53,92,99,36,59,67.8
Stud325,M,49,72,70,37,53,56.2
Stud326,M,79,77,63,84,65,73.6
Stud327,M,88,42,55,83,76,68.8
Stud328,F,53,89,98,62,49,70.2
Stud329,M,42,93,73,72,53,66.6
Stud330,M,73,76,60,78,35,64.4
Stud331,M,74,43,48,73,88,65.2
Stud332,M,93,50,84,81,67,75.0
Stud333,M,83,92,38,87,99,79.8
Stud334,M,89,72,50,35,37,56.6
Stud335,M,71,60,68,40,91,66.0
Stud336,M,75,51,76,49,67,63.6
Stud337,F,68,64,50,98,47,65.4
Stud338,F,87,76,81,69,59,74.4
Stud339,F,71,82,85,87,77,80.4
Stud340,F,61,86,41,36,63,57.4
Stud341,F,85,56,67,92,81,76.2
Stud342,M,45,77,98,62,91,74.6
Stud343,F,76,82,72,42,81,70.6
Stud344,F,60,98,62,89,61,74.0
Stud345,F,61,76,77,40,46,60.0
Stud346,M,76,88,49,86,79,75.6
Stud347,F,52,69,57,90,86,70.8
Stud348,M,47,35,63,92,65,60.4
Stud349,F,69,88,90,84,45,75.2
Stud350,M,95,90,40,71,53,69.8
Stud351,F,98,68,88,57,46,71.4
Stud352,F,58,48,68,75,85,66.8
Stud353,M,35,75,96,46,80,66.4
Stud354,F,86,85,72,49,43,67.0
Stud355,M,54,68,71,66,79,67.6
Stud356,F,97,98,62,35,40,66.4
Stud357,M,87,50,48,40,80,61.0
Stud358,M,51,44,68,35,88,57.2
Stud359,F,96,66,37,87,73,71.8
Stud360,M,75,79,42,35,80,62.2
Stud361,F,69,73,63,80,93,75.6
Stud362,F,60,61,64,44,77,61.2
Stud363,M,41,74,66,38,98,63.4
Stud364,M,84,97,47,55,77,72.0
Stud365,M,86,50,36,42,62,55.2
Stud366,M,95,91,75,98,38,79.4
Stud367,M,57,96,61,79,71,72.8
Stud368,M,76,67,53,63,88,69.4
Stud369,M,80,40,95,70,37,64.4
Stud370,M,40,97,48,56,80,64.2
Stud371,F,66,42,72,93,49,64.4
Stud372,M,37,87,59,97,48,65.6
Stud373,F,84,52,58,55,67,63.2
Stud374,F,89,38,45,84,53,61.8
Stud375,M,86,91,59,44,63,68.6
Stud376,M,42,62,71,69,84,65.6
Stud377,F,39,53,44,92,95,64.6
Stud378,M,69,36,51,54,41,50.2
Stud379,M,39,72,42,49,47,49.8
Stud380,M,93,71,37,75,38,62.8
Stud381,F,84,69,45,94,44,67.2
Stud382,M,50,64,89,88,99,78.0
Stud383,M,48,63,69,77,54,62.2
Stud384,M,76,60,78,47,98,71.8
Stud385,M,64,95,54,41,78,66.4
Stud386,M,92,52,51,42,64,60.2
Stud387,M,69,87,60,50,93,71.8
Stud388,M,42,84,64,57,52,59.8
Stud389,M,55,86,37,84,95,71.4
Stud390,F,46,88,45,93,77,69.8
Stud391,F,86,71,95,76,96,84.8
Stud392,F,73,72,99,68,88,80.0
Stud393,F,82,61,87,72,75,75.4
Stud394,M,99,94,84,53,46,75.2
Stud395,F,56,83,72,70,64,69.0
Stud396,F,62,39,85,83,94,72.6
Stud397,F,68,93,80,67,47,71.0
Stud398,F,68,59,91,95,83,79.2
Stud399,M,78,39,41,57,52,53.4
Stud400,F,67,79,47,75,54,64.4
Stud401,F,77,68,82,72,78,75.4
Stud402,F,53,66,91,56,83,69.8
Stud403,F,93,35,56,98,65,69.4
Stud404,M,79,82,53,85,39,67.6
Stud405,F,91,59,88,95,93,85.2
Stud406,F,35,96,66,44,92,66.6
Stud407,F,69,68,66,76,36,63.0
Stud408,F,37,58,38,48,55,47.2
Stud409,F,78,73,54,91,47,68.6
Stud410,M,84,50,39,74,59,61.2
Stud411,F,47,60,46,76,65,58.8
Stud412,F,79,83,88,35,94,75.8
Stud413,M,81,36,90,66,57,66.0
Stud414,M,46,56,70,43,45,52.0
Stud415,M,74,70,69,47,79,67.8
Stud416,M,60,43,66,82,75,65.2
Stud417,M,51,96,39,74,75,67.0
Stud418,M,69,53,38,79,57,59.2
Stud419,F,64,40,41,93,57,59.0
Stud420,M,40,98,53,76,69,67.2
Stud421,M,50,43,58,66,69,57.2
Stud422,M,46,69,78,42,99,66.8
Stud423,F,81,59,74,91,51,71.2
Stud424,M,53,38,78,52,41,52.4
Stud425,M,96,58,41,61,53,61.8
Stud426,M,57,39,53,75,74,59.6
Stud427,M,57,65,85,79,54,68.0
Stud428,F,90,45,47,46,89,63.4
Stud429,M,58,35,72,36,82,56.6
Stud430,F,73,74,39,70,43,59.8
Stud431,F,44,50,98,86,46,64.8
Stud432,F,90,80,96,87,98,90.2
Stud433,M,84,97,93,54,99,85.4
Stud434,M,85,87,55,86,75,77.6
Stud435,M,51,39,73,43,79,57.0
Stud436,F,35,57,86,88,96,72.4
Stud437,M,42,78,47,72,53,58.4
Stud438,F,71,69,81,43,84,69.6
Stud439,F,73,62,41,88,93,71.4
Stud440,M,89,85,90,37,92,78.6
Stud441,M,52,36,44,47,82,52.2
Stud442,M,66,94,42,43,44,57.8
Stud443,F,75,91,87,52,71,75.2
Stud444,M,67,54,90,80,46,67.4
Stud445,F,78,84,54,42,40,59.6
Stud446,F,97,42,62,36,92,65.8
Stud447,M,76,66,93,63,45,68.6
Stud448,M,80,98,92,82,58,82.0
Stud449,F,66,44,68,93,94,73.0
Stud450,F,52,47,43,79,92,62.6
Stud451,F,55,79,59,90,62,69.0
Stud452,F,76,68,95,67,44,70.0
Stud453,M,65,79,91,46,41,64.4
Stud454,F,65,45,68,73,97,69.6
Stud455,M,52,73,83,76,42,65.2
Stud456,M,54,99,89,47,48,67.4
Stud457,F,87,51,35,72,68,62.6
Stud458,M,96,39,68,79,48,66.0
Stud459,M,48,42,95,61,41,57.4
Stud460,F,86,88,41,65,77,71.4
Stud461,F,69,45,52,72,57,59.0
Stud462,M,36,96,53,91,49,65.0
Stud463,M,94,37,44,88,58,64.2
Stud464,M,37,45,65,39,35,44.2
Stud465,M,57,37,94,44,75,61.4
Stud466,M,46,37,40,65,93,56.2
Stud467,M,75,76,54,84,73,72.4
Stud468,M,91,37,40,62,45,55.0
Stud469,F,70,98,95,49,59,74.2
Stud470,F,63,74,68,67,80,70.4
Stud471,M,53,57,42,86,81,63.8
Stud472,F,60,70,44,38,90,60.4
Stud473,F,78,72,54,77,35,63.2
Stud474,M,50,35,53,88,66,58.4
Stud475,M,84,52,38,42,63,55.8
Stud476,M,70,47,41,92,87,67.4
Stud477,M,46,90,87,81,39,68.6
Stud478,M,80,62,38,92,79,70.2
Stud479,F,96,35,38,93,36,59.6
Stud480,F,66,96,70,95,87,82.8
Stud481,F,43,46,47,50,45,46.2
Stud482,M,79,78,51,53,61,64.4
Stud483,M,89,77,88,92,87,86.6
Stud484,M,97,36,94,71,87,77.0
Stud485,M,64,56,86,65,40,62.2
Stud486,F,76,71,77,47,41,62.4
Stud487,M,38,59,39,81,89,61.2
Stud488,M,77,74,69,97,66,76.6
Stud489,F,77,98,96,60,85,83.2
Stud490,M,52,86,57,71,91,71.4
Stud491,F,96,54,80,85,56,74.2
Stud492,F,54,50,51,61,62,55.6
Stud493,F,98,47,91,95,62,78.6
Stud494,F,57,77,37,84,40,59.0
Stud495,M,93,73,87,56,47,71.2
Stud496,F,68,96,38,72,51,65.0
Stud497,F,69,68,52,91,56,67.2
Stud498,M,36,94,52,75,73,66.0
Stud499,M,67,45,87,71,84,70.8
Stud500,F,45,70,62,39,73,57.8
Stud501,F,80,49,94,45,85,70.6
Stud502,M,76,40,62,67,90,67.0
Stud503,F,41,90,78,94,93,79.2
Stud504,M,56,46,71,89,82,68.8
Stud505,F,56,81,54,63,35,57.8
Stud506,M,78,88,59,55,42,64.4
Stud507,F,51,58,74,86,90,71.8
Stud508,M,81,65,86,37,83,70.4
Stud509,F,69,57,94,87,74,76.2
Stud510,F,51,41,74,39,95,60.0
Stud511,M,73,50,88,52,60,64.6
Stud512,F,98,99,45,84,58,76.8
Stud513,M,42,58,86,36,68,58.0
Stud514,M,68,99,44,65,51,65.4
Stud515,M,42,53,70,49,74,57.6
Stud516,M,67,97,35,98,43,68.0
Stud517,M,93,35,56,70,72,65.2
Stud518,F,55,85,93,40,75,69.6
Stud519,M,71,35,65,94,81,69.2
Stud520,M,56,63,57,62,98,67.2
Stud521,M,40,99,92,69,74,74.8
Stud522,M,89,50,93,36,96,72.8
Stud523,F,80,55,45,42,48,54.0
Stud524,M,48,96,92,85,51,74.4
Stud525,F,52,65,76,64,40,59.4
Stud526,M,80,84,82,72,83,80.2
Stud527,M,60,95,65,69,41,66.0
Stud528,M,62,36,93,50,64,61.0
Stud529,F,95,38,39,99,50,64.2
Stud530,M,51,52,35,47,90,55.0
Stud531,F,56,64,69,43,41,54.6
Stud532,F,74,76,79,65,97,78.2
Stud533,F,95,86,48,45,96,74.0
Stud534,F,92,51,55,39,95,66.4
Stud535,F,41,43,96,68,88,67.2
Stud536,M,98,42,87,71,36,66.8
Stud537,F,77,88,97,81,48,78.2
Stud538,M,45,60,57,73,91,65.2
Stud539,F,54,74,71,65,52,63.2
Stud540,F,50,83,78,52,74,67.4
Stud541,F,83,46,62,50,92,66.6
Stud542,F,98,66,59,64,35,64.4
Stud543,M,77,69,64,39,81,66.0
Stud544,F,92,35,50,77,63,63.4
Stud545,M,70,66,49,65,67,63.4
Stud546,M,96,51,40,69,36,58.4
Stud547,F,78,96,56,72,66,73.6
Stud548,F,77,62,84,71,69,72.6
Stud549,M,51,40,45,47,38,44.2
Stud550,F,80,85,39,40,92,67.2
Stud551,M,40,44,41,87,77,57.8
Stud552,M,57,53,99,56,90,71.0
Stud553,F,45,49,74,62,54,56.8
Stud554,F,75,63,39,70,68,63.0
Stud555,M,98,41,87,79,95,80.0
Stud556,M,41,36,50,61,48,47.2
Stud557,M,78,35,50,37,82,56.4
Stud558,M,78,63,77,58,60,67.2
Stud559,F,91,63,77,45,53,65.8
Stud560,F,78,79,50,92,58,71.4
Stud561,F,44,73,83,64,65,65.8
Stud562,F,42,64,83,75,84,69.6
Stud563,M,64,82,80,85,57,73.6
Stud564,F,71,55,50,56,36,53.6
Stud565,F,61,95,73,78,93,80.0
Stud566,M,67,51,55,85,60,63.6
Stud567,F,95,89,45,38,68,67.0
Stud568,F,41,35,40,48,85,49.8
Stud569,M,99,93,46,88,56,76.4
Stud570,M,59,93,91,48,98,77.8
Stud571,F,53,98,68,47,60,65.2
Stud572,F,90,45,48,73,51,61.4
Stud573,M,83,37,58,55,59,58.4
Stud574,F,89,90,71,79,46,75.0
Stud575,F,55,54,44,96,36,57.0
Stud576,M,86,51,36,91,73,67.4
Stud577,M,53,35,87,64,82,64.2
Stud578,M,85,78,52,87,40,68.4
Stud579,M,72,71,64,60,55,64.4
Stud580,F,45,41,91,85,84,69.2
Stud581,M,65,88,90,96,85,84.8
Stud582,M,47,79,89,75,67,71.4
Stud583,F,82,71,54,85,46,67.6
Stud584,M,80,93,96,64,66,79.8
Stud585,M,87,65,60,43,47,60.4
Stud586,M,57,99,65,56,97,74.8
Stud587,F,48,85,55,64,38,58.0
Stud588,F,41,86,50,38,51,53.2
Stud589,F,73,87,64,76,53,70.6
Stud590,M,71,44,83,81,98,75.4
Stud591,M,45,68,50,44,58,53.0
Stud592,F,75,92,73,95,60,79.0
Stud593,M,46,96,39,36,40,51.4
Stud594,F,35,70,98,49,97,69.8
Stud595,F,74,44,64,72,73,65.4
Stud596,F,57,64,48,97,47,62.6
Stud597,M,87,47,74,78,90,75.2
Stud598,F,71,50,86,40,90,67.4
Stud599,F,60,36,44,54,61,51.0
Stud600,F,71,63,92,38,44,61.6
Stud601,F,38,76,49,46,96,61.0
Stud602,M,75,92,91,97,79,86.8
Stud603,F,74,51,60,55,46,57.2
Stud604,F,94,68,50,83,65,72.0
Stud605,M,91,95,86,54,83,81.8
Stud606,M,44,42,48,57,91,56.4
Stud607,F,92,55,37,99,47,66.0
Stud608,F,87,76,83,79,77,80.4
Stud609,M,71,58,96,94,86,81.0
Stud610,M,86,74,60,38,73,66.2
Stud611,F,60,58,76,45,74,62.6
Stud612,F,37,55,98,50,92,66.4
Stud613,M,41,66,54,39,62,52.4
Stud614,M,45,68,82,54,48,59.4
Stud615,F,61,47,70,57,66,60.2
Stud616,F,80,89,60,52,78,71.8
Stud617,F,74,93,58,60,66,70.2
Stud618,M,71,65,54,67,45,60.4
Stud619,F,66,85,50,71,62,66.8
Stud620,F,97,50,58,44,87,67.2
Stud621,F,47,71,35,55,66,54.8
Stud622,F,98,41,36,40,86,60.2
Stud623,F,97,61,82,78,37,71.0
Stud624,F,40,79,44,87,52,60.4
Stud625,F,61,39,81,87,46,62.8
Stud626,M,56,72,96,48,88,72.0
Stud627,M,64,61,84,67,70,69.2
Stud628,F,73,99,91,89,47,79.8
Stud629,M,54,96,91,44,65,70.0
Stud630,F,67,81,66,40,35,57.8
Stud631,F,84,40,95,51,91,72.2
Stud632,M,92,91,95,56,60,78.8
Stud633,F,62,74,76,88,96,79.2
Stud634,F,35,73,95,44,67,62.8
Stud635,F,76,42,91,64,98,74.2
Stud636,F,62,53,97,51,91,70.8
Stud637,F,75,90,88,93,81,85.4
Stud638,M,53,55,99,95,38,68.0
Stud639,M,73,53,42,86,63,63.4
Stud640,F,97,91,36,66,41,66.2
Stud641,M,45,65,69,70,67,63.2
Stud642,M,55,87,58,72,45,63.4
Stud643,F,87,56,92,43,63,68.2
Stud644,F,77,38,35,37,85,54.4
Stud645,F,37,38,77,45,83,56.0
Stud646,M,72,94,44,96,59,73.0
Stud647,M,86,87,67,76,83,79.8
Stud648,F,94,86,44,56,43,64.6
Stud649,M,46,63,77,57,61,60.8
Stud650,F,83,82,92,94,93,88.8
Stud651,F,40,53,72,75,67,61.4
Stud652,F,55,45,64,99,86,69.8
Stud653,F,57,89,73,51,41,62.2
Stud654,M,53,55,99,46,66,63.8
Stud655,M,65,44,67,96,42,62.8
Stud656,F,85,74,48,57,96,72.0
Stud657,F,44,85,61,79,74,68.6
Stud658,M,38,55,61,51,96,60.2
Stud659,M,38,36,89,44,78,57.0
Stud660,M,36,50,47,90,86,61.8
Stud661,F,73,55,53,52,46,55.8
Stud662,M,55,96,65,47,46,61.8
Stud663,M,85,95,82,49,78,77.8
